"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"313",15,"Sean Tucker",TB,"RB97","239","358","311.9","27.5","-"
"314",15,"Ben Sinnott",WAS,"TE37","209","301","264.2","30.1","-"
"315",15,"Phil Mafah",FA,"RB98","308","313","310.9","1.9","-"
"316",15,"Michael Mayer",LV,"TE38","216","330","269.0","36.6","-"
"317",15,"Demarcus Robinson",LAR,"WR110","295","312","298.4","5.7","-"
"318",15,"Dawson Knox",BUF,"TE39","103","321","253.3","87.7","-"
"319",15,"Kirk Cousins",ATL,"QB36","273","318","291.0","14.7","-"
"320",15,"Matt Gay",IND,"K18","251","314","293.0","29.7","-"
"321",15,"Deion Burks",FA,"WR111","283","298","293.7","5.5","-"
"322",15,"Deshaun Watson",CLE,"QB37","254","306","281.8","19.0","-"
"323",15,"D'Ernest Johnson",JAC,"RB99","312","354","319.7","12.3","-"
"324",15,"Tyler Higbee",LAR,"TE40","130","348","236.0","89.1","-"
"325",15,"Dyami Brown",WAS,"WR112","179","307","236.7","53.0","-"
"326",15,"Troy Franklin",DEN,"WR113","187","310","236.7","52.9","-"
"327",15,"Luke Lachey",FA,"TE41","263","299","277.0","13.3","-"
"328",15,"Chicago Bears",CHI,"DST20","279","338","315.3","16.3","-"
"329",15,"Ray-Ray McCloud III",ATL,"WR114","188","359","253.0","75.6","-"
"330",15,"Ezekiel Elliott",FA,"RB100","293","316","309.5","9.4","-"
"331",15,"Kalel Mullings",FA,"RB101","279","326","310.8","14.8","-"
"332",15,"Matthew Golden",FA,"WR115","174","311","257.0","59.6","-"
"333",15,"Emanuel Wilson",GB,"RB102","311","355","319.0","14.8","-"
"334",15,"Ja'Lynn Polk",NE,"WR116","214","319","260.0","43.8","-"
"335",15,"Chris Tyree",FA,"RB103","310","317","314.3","2.1","-"
"336",15,"Jason Myers",SEA,"K19","252","362","304.6","36.9","-"
"337",15,"Jalen Milroe",FA,"QB38","248","329","290.0","30.2","-"
"338",15,"Savion Williams",FA,"WR117","234","285","267.0","23.4","-"
"339",15,"Jordan Whittington",LAR,"WR118","183","323","269.7","61.8","-"
"340",15,"Olamide Zaccheaus",WAS,"WR119","182","372","274.7","77.6","-"
"341",15,"Devontez Walker",BAL,"WR120","228","367","278.7","62.7","-"
"342",15,"Damien Martinez",FA,"RB104","215","257","236.0","21.0","-"
"343",15,"Blake Grupe",NO,"K20","252","327","286.7","30.9","-"
"344",15,"DJ Giddens",FA,"RB105","216","284","250.0","34.0","-"
"345",15,"Xavier Hutchinson",HOU,"WR121","204","352","289.7","62.6","-"
